"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",20,Both,425.73,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",21,Both,438.90,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",22,Both,438.90,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",23,Both,438.90,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",24,Both,438.90,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",25,Both,440.66,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",26,Both,449.43,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",27,Both,459.97,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",28,Both,477.08,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",29,Both,491.13,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",30,Both,498.15,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",31,Both,508.69,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",32,Both,519.22,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",33,Both,525.80,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",34,Both,532.82,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",35,Both,536.34,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",36,Both,539.85,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",37,Both,543.36,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",38,Both,546.87,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",39,Both,553.89,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",40,Both,560.91,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",41,Both,571.45,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",42,Both,581.54,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",43,Both,595.59,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",44,Both,613.14,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",45,Both,633.77,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",46,Both,658.35,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",47,Both,686.00,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",48,Both,717.60,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",49,Both,748.76,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",50,Both,783.88,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",51,Both,818.55,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",52,Both,856.73,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",53,Both,895.36,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",54,Both,937.05,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",55,Both,978.75,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",56,Both,1023.95,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",57,Both,1069.60,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",58,Both,1118.32,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",59,Both,1142.46,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",60,Both,1191.17,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",61,Both,1233.31,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",62,Both,1260.96,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",63,Both,1295.63,,,,,,,,
